school_id,school_name,latitude,longitude,category,total_students,age_15_cohort,female_students,male_students,saturation_rate,female_saturation,male_saturation,gender_parity_index,equity_risk,backlog_students,access_risk_score,zone_label,priority_score,status
SCH-10159,"Govt Primary School, Doddaballapur Block-2",12.961181,77.55769,rural,639,55,298,341,0.696,0.515,0.737,0.699,True,17,15.6,Accessible,0.318,NORMAL
SCH-10160,"Govt Primary School, Hoskote Block-9",13.055979,77.698211,urban,192,17,88,104,0.882,0.737,0.98,0.752,True,3,16.9,Accessible,0.228,NORMAL
SCH-10161,"Zilla Parishad School, Hoskote Block-5",13.186623,77.513248,urban,640,59,332,308,0.577,0.968,0.667,1.452,False,25,15.5,Accessible,0.223,CRITICAL
SCH-10162,"Zilla Parishad School, Doddaballapur Block-3",13.05487,77.60911,urban,757,74,356,401,0.752,0.784,0.73,1.074,False,19,7.1,Accessible,0.143,NORMAL
SCH-10163,"Govt Primary School, Magadi Block-8",12.960056,77.490208,rural,139,11,67,72,0.616,0.638,0.429,1.487,False,5,29.6,Accessible,0.171,NORMAL
SCH-10164,"Model Govt School, Doddaballapur Block-4",13.063035,77.569213,urban,467,44,247,220,0.735,0.724,0.657,1.103,False,12,12.9,Accessible,0.133,NORMAL
SCH-10165,"Govt High School, Ramanagara Block-1",13.276292,77.566659,urban,673,55,334,339,0.871,0.734,0.75,0.978,False,8,19.3,Accessible,0.106,NORMAL
SCH-10166,"Model Govt School, Magadi Block-5",12.985973,77.626944,urban,338,31,177,161,0.689,0.591,0.798,0.741,True,10,11.3,Accessible,0.28,NORMAL
SCH-10167,"Govt High School, Doddaballapur Block-2",13.223919,77.410243,urban,491,39,233,258,0.864,0.917,0.74,1.239,False,6,10.9,Accessible,0.078,NORMAL
SCH-10168,"Model Govt School, Nelamangala Block-3",13.224002,77.675085,urban,649,53,356,293,0.588,0.902,0.661,1.364,False,22,9.0,Accessible,0.193,CRITICAL
SCH-10169,"Govt Primary School, Magadi Block-3",12.857871,77.35686,rural,213,20,102,111,0.729,0.797,0.349,2.0,False,6,60.5,Moderate Access,0.23,NORMAL
SCH-10170,"Zilla Parishad School, Nelamangala Block-5",13.284205,77.501651,urban,794,73,407,387,0.854,0.314,0.667,0.472,True,11,14.6,Accessible,0.26,NORMAL
SCH-10171,"Model Govt School, Ramanagara Block-4",12.877195,77.607703,rural,281,24,130,151,0.747,0.537,0.597,0.898,True,7,13.4,Accessible,0.262,NORMAL
SCH-10172,"Zilla Parishad School, Ramanagara Block-7",13.33046,77.564374,urban,283,28,152,131,0.78,0.791,0.62,1.275,False,7,31.0,Accessible,0.15,NORMAL
SCH-10173,"Model Govt School, Doddaballapur Block-2",13.100788,77.740475,urban,254,24,121,133,0.688,0.86,0.75,1.146,False,8,22.5,Accessible,0.151,NORMAL
SCH-10174,"Model Govt School, Ramanagara Block-2",13.087475,77.372089,rural,663,58,333,330,0.482,0.582,0.674,0.863,True,31,37.5,Accessible,0.471,CRITICAL
SCH-10175,"Model Govt School, Doddaballapur Block-3",13.264657,77.63267,urban,401,38,185,216,0.903,0.855,0.892,0.959,False,4,17.8,Accessible,0.08,NORMAL
SCH-10176,"Govt Primary School, Ramanagara Block-8",13.345886,77.615681,urban,205,17,103,102,0.689,0.902,0.544,1.657,False,6,34.1,Accessible,0.172,NORMAL
SCH-10177,"Govt High School, Doddaballapur Block-6",12.94821,77.730578,rural,328,29,171,157,0.691,0.612,0.578,1.058,False,9,23.2,Accessible,0.156,NORMAL
SCH-10178,"Zilla Parishad School, Ramanagara Block-4",13.151925,77.580646,urban,346,31,160,186,0.878,0.8,0.496,1.612,False,4,9.8,Accessible,0.065,NORMAL
SCH-10179,"Govt Primary School, Devanahalli Block-9",12.850327,77.698268,rural,725,58,353,372,0.685,0.654,0.653,1.001,False,19,24.7,Accessible,0.201,NORMAL
SCH-10180,"Zilla Parishad School, Hoskote Block-2",13.201244,77.596101,urban,610,56,335,275,0.464,0.674,0.793,0.849,True,31,1.7,Accessible,0.385,CRITICAL
SCH-10181,"Zilla Parishad School, Ramanagara Block-6",12.95775,77.484403,rural,239,22,110,129,0.361,0.419,0.454,0.923,False,15,30.8,Accessible,0.265,NORMAL
SCH-10182,"Govt High School, Doddaballapur Block-1",12.883083,77.357662,rural,291,25,133,158,0.778,0.519,0.804,0.645,True,6,59.0,Moderate Access,0.366,NORMAL
SCH-10183,"Govt High School, Magadi Block-6",12.990808,77.735344,rural,407,38,205,202,0.797,0.7,0.598,1.17,False,8,27.0,Accessible,0.14,NORMAL
SCH-10184,"Model Govt School, Devanahalli Block-3",12.880904,77.386944,rural,283,26,131,152,0.558,0.763,0.665,1.147,False,12,52.9,Moderate Access,0.269,NORMAL
SCH-10185,"Govt Primary School, Devanahalli Block-4",12.956224,77.615409,rural,381,35,204,177,0.763,0.73,0.661,1.104,False,9,5.1,Accessible,0.096,NORMAL
SCH-10186,"Model Govt School, Devanahalli Block-8",12.993973,77.547128,urban,349,28,182,167,0.59,0.778,0.837,0.93,False,12,21.3,Accessible,0.183,NORMAL
SCH-10187,"Model Govt School, Nelamangala Block-6",13.263276,77.670392,urban,104,8,47,57,0.705,0.714,0.624,1.145,False,3,16.7,Accessible,0.113,NORMAL
SCH-10188,"Govt High School, Hoskote Block-8",13.061774,77.667428,urban,714,70,352,362,0.719,0.602,0.333,1.809,False,20,10.2,Accessible,0.162,CRITICAL
SCH-10189,"Govt High School, Devanahalli Block-7",12.929152,77.370714,rural,701,58,373,328,0.698,0.759,0.647,1.173,False,18,55.0,Moderate Access,0.27,NORMAL
SCH-10190,"Govt High School, Magadi Block-8",13.115786,77.363064,rural,104,8,49,55,0.536,0.513,0.545,0.942,False,4,33.4,Accessible,0.192,NORMAL
SCH-10191,"Govt High School, Hoskote Block-9",13.009826,77.525271,urban,426,36,196,230,0.913,0.822,0.657,1.251,False,4,27.1,Accessible,0.101,NORMAL
SCH-10192,"Govt High School, Nelamangala Block-4",13.006525,77.684599,urban,682,67,369,313,0.66,0.828,0.664,1.246,False,23,20.5,Accessible,0.211,CRITICAL
SCH-10193,"Model Govt School, Hoskote Block-3",13.234064,77.550191,urban,717,69,357,360,0.462,0.663,0.742,0.894,True,38,13.0,Accessible,0.442,CRITICAL
SCH-10194,"Zilla Parishad School, Devanahalli Block-9",13.348811,77.426453,rural,369,34,170,199,0.414,0.561,0.624,0.899,True,20,26.8,Accessible,0.414,CRITICAL
SCH-10195,"Model Govt School, Ramanagara Block-2",13.180859,77.59098,urban,198,16,105,93,0.683,0.726,0.765,0.95,False,6,3.0,Accessible,0.095,NORMAL
SCH-10196,"Govt High School, Ramanagara Block-7",12.880943,77.564147,rural,690,58,372,318,0.831,0.601,0.726,0.827,True,10,17.8,Accessible,0.268,NORMAL
SCH-10197,"Govt High School, Magadi Block-3",12.875647,77.547014,rural,392,37,195,197,0.443,0.692,0.772,0.896,True,21,21.4,Accessible,0.399,CRITICAL
SCH-10198,"Model Govt School, Doddaballapur Block-9",13.198582,77.427374,urban,320,27,154,166,0.724,0.709,0.487,1.455,False,8,10.3,Accessible,0.113,NORMAL
SCH-10199,"Govt Primary School, Magadi Block-7",12.928101,77.745368,rural,246,20,119,127,0.675,0.713,0.827,0.862,True,7,26.2,Accessible,0.309,NORMAL
